algorithm,runtime_mean,coverage_mean,priority_mean,utilization_mean,fatigue_balance_mean,total_score_mean,total_score_min,total_score_max,trials
greedy,0.0016841888427734,1.0,0.7333333333333333,0.34,0.1351351351351351,61.79369369369369,61.79369369369369,61.79369369369369,1
random,0.0016964673995971266,1.0,0.6565438596491228,0.48688888888888887,0.2243919219942653,63.800089356229776,60.84405204460967,68.8153846153846,30
refined,0.303225040435791,1.0,0.7,0.32,1.0,73.8,73.8,73.8,1
